Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos,mv_neg,mv_neu,mv_com
14/6/2021,24.73,25.15,24.469999,25,25,51801500,299,0.057828472,0.27727897,0.089856187,0.072575251,0.837561873,0.045414716,0.149438127,0.0850301,0.765508361,0.124547492
15/6/2021,25.030001,25.549999,24.389999,24.41,24.41,46693200,255,0.033192492,0.341844978,0.098705882,0.063309804,0.837976471,0.085310196,0.161031373,0.075294118,0.76365098,0.177333333
16/6/2021,24.09,24.940001,23.860001,24.799999,24.799999,58452600,169,0.081011767,0.334333451,0.130059172,0.065781065,0.804177515,0.098865089,0.210443787,0.076544379,0.713053254,0.209727219
17/6/2021,24.68,25.459999,24.549999,25.450001,25.450001,64408400,327,0.058179916,0.269410535,0.100896024,0.062859327,0.836256881,0.070918349,0.169238532,0.072831804,0.757948012,0.180951988
18/6/2021,25.59,25.940001,25.02,25.370001,25.370001,65852600,217,0.059317728,0.286639923,0.112691244,0.059387097,0.827926267,0.095893548,0.181317972,0.069304147,0.74937788,0.204085714
21/6/2021,25.1,25.549999,24.51,25.42,25.42,54805000,126,0.02225013,0.312506407,0.110404762,0.077746032,0.811849206,0.087466667,0.180055556,0.092071429,0.727873016,0.179290476
22/6/2021,25.389999,25.52,24.959999,25.4,25.4,46171100,85,0.025138779,0.323790821,0.097023529,0.088541176,0.814470588,0.042418824,0.176105882,0.096976471,0.726929412,0.160995294
23/6/2021,25.459999,26.35,25.34,26.27,26.27,53362200,282,0.039487001,0.290471288,0.10748227,0.068843972,0.823666667,0.076127305,0.182578014,0.084230496,0.733191489,0.163221986
24/6/2021,26.49,26.709999,26.17,26.530001,26.530001,48419400,240,0.088480019,0.309456153,0.114945833,0.043191667,0.841858333,0.112585417,0.202675,0.0583375,0.738995833,0.242455833
25/6/2021,26.58,27.01,26.245001,26.780001,26.780001,140832700,116,0.084965591,0.331514949,0.094206897,0.066896552,0.838913793,0.074086207,0.1875,0.091172414,0.721336207,0.176781897
