Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos
15/7/2021,677.640015,677.640015,656.599976,667.73999,667.73999,344100,19,0.064746643,0.404869994,0.109263158,0.066052632,0.824631579,0.140068421,0.175578947
16/7/2021,669.929993,673.940002,657.73999,661.640015,661.640015,347700,17,-0.005459851,0.278650794,0.059529412,0.104882353,0.835588235,-0.137929412,0.090647059
19/7/2021,643.559998,661,640.890015,651.880005,651.880005,341900,44,0.017771897,0.479316796,0.104409091,0.121477273,0.774181818,-0.019231818,0.141909091
20/7/2021,652.76001,665.22998,644,659.780029,659.780029,329900,27,0.004513026,0.509897426,0.057222222,0.169703704,0.773185185,-0.174507407,0.085259259
21/7/2021,663.059998,683.409973,662.309998,673.609985,673.609985,259100,24,0.023576088,0.498355129,0.114458333,0.0605,0.825125,0.115841667,0.185291667
22/7/2021,671.219971,678.26001,663.51001,675.039978,675.039978,233800,28,0.069564504,0.430997841,0.122178571,0.088178571,0.789678571,0.123939286,0.139107143
23/7/2021,680,691.73999,674.450012,685,685,246700,19,0.044993695,0.378902516,0.103789474,0.058578947,0.837526316,0.1223,0.174
26/7/2021,683.01001,687.289978,673.340027,677.710022,677.710022,186800,21,0.081895292,0.372970328,0.109619048,0.098857143,0.791571429,0.008628571,0.131285714
27/7/2021,676.190002,676.190002,658.25,673.070007,673.070007,262200,25,0.059991342,0.31981241,0.1058,0.1048,0.78948,0.059864,0.13516
28/7/2021,675.700012,679.059998,670.429993,673.119995,673.119995,151600,66,0.111086806,0.447347107,0.119484848,0.084348485,0.79619697,0.159775758,0.145939394
29/7/2021,674.530029,684.349976,666.840027,669.76001,669.76001,319000,267,0.022398371,0.441051494,0.092868914,0.103868914,0.803269663,-0.01745618,0.130164794
30/7/2021,663.580017,675,658.830017,664.080017,664.080017,290900,132,0.007892649,0.478879808,0.100378788,0.143969697,0.755674242,-0.02602197,0.125484848
2/8/2021,667.98999,670.799988,657.47998,657.77002,657.77002,291500,45,-0.041737109,0.456987719,0.081244444,0.125844444,0.792955556,-0.122895556,0.099111111
3/8/2021,658.169983,662.640015,649.169983,660.97998,660.97998,247800,182,0.070924159,0.470835663,0.128362637,0.095131868,0.7765,0.115926374,0.152346154
4/8/2021,661.849976,694.98999,658.98999,676.080017,676.080017,447900,306,0.039987748,0.468000414,0.101924837,0.091745098,0.80630719,0.013155556,0.129022876
5/8/2021,678,688.48999,674.619995,679.97998,679.97998,223800,145,0.061771946,0.482726544,0.100372414,0.10482069,0.794855172,-0.00716069,0.135613793
6/8/2021,687.700012,695.289978,673.469971,674.98999,674.98999,252500,83,0.024435113,0.416267296,0.115373494,0.084481928,0.800192771,0.050591566,0.145807229
9/8/2021,675.01001,700.73999,670.840027,688.840027,688.840027,390000,25,0.05038278,0.465014334,0.10788,0.12316,0.76892,-0.0726,0.13564
10/8/2021,689.47998,724.880005,689.47998,719.700012,719.700012,483600,19,0.040348219,0.419308878,0.113315789,0.084210526,0.802421053,0.164394737,0.150421053
11/8/2021,721.210022,741.580017,717.48999,733.440002,733.440002,539900,24,-0.082571216,0.363248417,0.094125,0.064833333,0.840958333,0.046533333,0.118791667
12/8/2021,733.809998,744.559998,725,738.52002,738.52002,324200,32,0.042624026,0.461196863,0.10346875,0.0778125,0.8186875,0.069971875,0.1321875
13/8/2021,740,740.25,710.159973,722.940002,722.940002,406200,18,0.04989261,0.439979825,0.067722222,0.141833333,0.790222222,-0.177916667,0.130444444
16/8/2021,712,718.909973,697.02002,714.97998,714.97998,240800,23,0.071998792,0.396479469,0.104347826,0.053869565,0.841826087,0.107095652,0.151130435
17/8/2021,704.469971,704.469971,676.380005,688.030029,688.030029,439400,20,0.104319029,0.404453738,0.1112,0.10135,0.78725,-0.00041,0.14965
